grapheme,gold,pred,accuracy
augusta,ˈɑu̯ɡustɑ,ˈɑu̯ɡustɑ,0.0
armo,ˈɑrmo,ˈɑrmo,0.0
ašnita,ˈɑʃnʲitɑ,ˈɑʃnʲitɑ,0.0
auli,ˈɑu̯lʲi,ˈɑu̯lʲi,0.0
autobušši,ˈɑu̯toˌbuʃːi,ˈɑu̯toˌbuʃːi,0.0
ativo,ˈɑtʲiʋo,ˈɑtʲiʋo,0.0
arvo,ˈɑrʋo,ˈɑrʋo,0.0
avata,ˈɑʋɑtɑ,ˈɑʋɑtɑ,0.0
bokko,ˈbokːo,ˈbokːo,0.0
avtobussa,ˈɑʋtoˌbusːɑ,ˈɑʋtoˌbusːɑ,0.0
čidžilyškä,ˈt͡ʃid͡ʒiˌlʲyʃkæ,ˈt͡ʃid͡ʒiˌlʲyʃkæ,0.0
čiba,ˈt͡ʃibɑ,ˈt͡ʃibɑ,0.0
briha,ˈbrihɑ,ˈbrihɑ,0.0
čičiliušku,ˈt͡ʃit͡ʃiˌlʲiu̯ʃku,ˈt͡ʃit͡ʃiˌlʲiʃkːu,17.0
čakka,ˈt͡ʃɑkːɑ,ˈt͡ʃɑkːɑ,0.0
čirppi,ˈt͡ʃirpːi,ˈt͡ʃirpːi,0.0
čuasti,ˈt͡ʃuɑ̯sʲtʲi,ˈt͡ʃuɑ̯sʲtʲi,0.0
čirpi,ˈt͡ʃirpi,ˈt͡ʃirpi,0.0
čikko,ˈt͡ʃikːo,ˈt͡ʃikːo,0.0
čiili,ˈt͡ʃiːlʲi,ˈt͡ʃiːlʲi,0.0
dekabrʹa,ˈdʲekɑbrʲɑ,ˈdʲekɑbrʲɑ,0.0
eglein,ˈeɡlʲei̯n,ˈeɡlʲei̯n,0.0
eepossa,ˈeːposːɑ,ˈeːposːɑ,0.0
da,ˈdɑ,ˈdɑ,0.0
dekabri,ˈdʲekɑbrʲi,ˈdʲekɑbrʲi,0.0
egläin,ˈeɡlʲæi̯n,ˈeɡlʲæi̯n,0.0
ei,ˈei̯,ˈei̯,0.0
eglen,ˈeɡlʲen,ˈeɡlʲen,0.0
elokuu,ˈeloˌkuː,ˈeloˌkuː,0.0
eklen,ˈeklʲen,ˈeklʲen,0.0
elätti,ˈelʲætʲːi,ˈelʲætʲːi,0.0
eläntä,ˈelʲænʲtʲæ,ˈelʲænʲtʲæ,0.0
elo,ˈelo,ˈelo,0.0
ešte,ˈeʃtʲe,ˈeʃtʲe,0.0
ennakkuolʹta,ˈenːɑkˌkuo̯lʲtɑ,ˈenːɑkˌkuo̯lʲtɑ,0.0
eländä,ˈelʲænʲdʲæ,ˈelʲænʲdæ,10.0
emä,ˈemæ,ˈemæ,0.0
eurovision laulukilpailu,ˈeu̯roˌʋisʲion ˈlɑu̯luˌkilpɑi̯lu,ˈeu̯roˌʋisʲion ˈlɑu̯luˌkilpɑi̯lpɑi̯lpɑi̯,28.000000000000004
greču,ˈɡret͡ʃu,ˈɡret͡ʃu,0.0
gorničča,ˈɡornit͡ʃːɑ,ˈɡornit͡ʃːɑ,0.0
guada,ˈɡuɑ̯dɑ,ˈɡuɑ̯dɑ,0.0
feurali,ˈfeu̯rɑlʲi,ˈfeu̯rɑlʲi,0.0
flynteri,ˈflʲyntʲeri,ˈflʲyntʲeri,0.0
haju,ˈhɑju,ˈhɑju,0.0
hajukaš,ˈhɑjukɑʃ,ˈhɑjukɑʃ,0.0
hameh,ˈhɑmeh,ˈhɑmeh,0.0
gosʹtʹa,ˈɡosʲtʲɑ,ˈɡosʲtʲɑ,0.0
halʹlʹakka,ˈhɑlʲːɑkːɑ,ˈhɑlʲːɑkːɑ,0.0
eklein,ˈeklʲei̯n,ˈeklʲei̯n,0.0
hammaš,ˈhɑmːɑʃ,ˈhɑmːɑʃ,0.0
harpata,ˈhɑrpɑtɑ,ˈhɑrpɑtɑ,0.0
harpauš,ˈhɑrpɑu̯ʃ,ˈhɑrpɑu̯ʃ,0.0
harmua,ˈhɑrmuɑ̯,ˈhɑrmuɑ̯,0.0
hanhi,ˈhɑnhi,ˈhɑnhi,0.0
hapata,ˈhɑpɑtɑ,ˈhɑpɑtɑ,0.0
harju,ˈhɑrju,ˈhɑrju,0.0
harppauš,ˈhɑrpːɑu̯ʃ,ˈhɑrpːɑu̯ʃ,0.0
harakka,ˈhɑrɑkːɑ,ˈhɑrɑkːɑ,0.0
hapan,ˈhɑpɑn,ˈhɑpɑn,0.0
hauda,ˈhɑu̯dɑ,ˈhɑu̯dɑ,0.0
haugi,ˈhɑu̯ɡi,ˈhɑu̯ɡi,0.0
hebo,ˈhebo,ˈhebo,0.0
eri,ˈeri,ˈeri,0.0
heinäkuu,ˈhei̯nʲæˌkuː,ˈhei̯nʲæˌkuː,0.0
hauki,ˈhɑu̯ki,ˈhɑu̯ki,0.0
hebone,ˈhebonʲe,ˈhebonʲe,0.0
heimo,ˈhei̯mo,ˈhei̯mo,0.0
heikko,ˈhei̯kːo,ˈhei̯kːo,0.0
hauta,ˈhɑu̯tɑ,ˈhɑu̯tɑ,0.0
haukka,ˈhɑu̯kːɑ,ˈhɑu̯kːɑ,0.0
hengi,ˈheŋɡi,ˈheŋɡi,0.0
heinä,ˈhei̯nʲæ,ˈhei̯nʲæ,0.0
henkityš,ˈheŋkitʲyʃ,ˈheŋkitʲyʃ,0.0
herneh,ˈhernʲeh,ˈhernʲeh,0.0
hepo,ˈhepo,ˈhepo,0.0
hibie,ˈhibie̯,ˈhibie̯,0.0
higi,ˈhiɡi,ˈhiɡi,0.0
hipie,ˈhipie̯,ˈhipie̯,0.0
heponi,ˈheponʲi,ˈheponʲi,0.0
hiiri,ˈhiːri,ˈhiːri,0.0
hengityš,ˈheŋɡitʲyʃ,ˈheŋɡitʲyʃ,0.0
hiki,ˈhiki,ˈhiki,0.0
henki,ˈheŋki,ˈheŋki,0.0
hibiehiiri,ˈhibie̯ˌhiːri,ˈhibie̯ˌhiːri,0.0
hipiehiiri,ˈhipie̯ˌhiːri,ˈhipie̯ˌhiːri,0.0
hospoti,ˈhospotʲi,ˈhospotʲi,0.0
hivuš,ˈhiʋuʃ,ˈhiʋuʃ,0.0
huja,ˈhujɑ,ˈhujɑ,0.0
hukka,ˈhukːɑ,ˈhukːɑ,0.0
huoli,ˈhuo̯lʲi,ˈhuo̯lʲi,0.0
hirvi,ˈhirʋi,ˈhirʋi,0.0
huomeneš,ˈhuo̯meneʃ,ˈhuo̯meneʃ,0.0
huono,ˈhuo̯no,ˈhuo̯no,0.0
hyvä,ˈhyʋæ,ˈhyʋæ,0.0
huomneš,ˈhuo̯mneʃ,ˈhuo̯mneʃ,0.0
huttu,ˈhutːu,ˈhutːu,0.0
huomena,ˈhuo̯menɑ,ˈhuo̯menɑ,0.0
huuhkaja,ˈhuːhkɑjɑ,ˈhuːhkɑjɑ,0.0
hyö,ˈhyø̯,ˈhyø̯,0.0
hätä,ˈhætʲæ,ˈhætʲæ,0.0
hädä,ˈhædʲæ,ˈhædʲæ,0.0
hyybiehaukka,ˈhyːbie̯ˌhɑu̯kːɑ,ˈhyːbie̯ˌhɑu̯kːɑ,0.0
hyypiehaukka,ˈhyːpie̯ˌhɑu̯kːɑ,ˈhyːpie̯ˌhɑu̯kːɑ,0.0
hyypie,ˈhyːpie̯,ˈhyːpie̯,0.0
höyry,ˈhøy̯ry,ˈhøy̯ry,0.0
häkki,ˈhækːi,ˈhækːi,0.0
hämehikki,ˈhæmeˌhikːi,ˈhæmeˌhikːi,0.0
hämähikkö,ˈhæmæˌhikːø,ˈhæmæˌhikːø,0.0
härgä,ˈhærɡæ,ˈhærɡæ,0.0
höberö,ˈhøberø,ˈhøberø,0.0
höperö,ˈhøperø,ˈhøperø,0.0
iččeh,ˈit͡ʃːeh,ˈit͡ʃːeh,0.0
igä,ˈiɡæ,ˈiɡæ,0.0
ijen,ˈijen,ˈijen,0.0
igen,ˈiɡen,ˈiɡen,0.0
ihmini,ˈihminʲi,ˈihminʲi,0.0
ilta,ˈiltɑ,ˈiltɑ,0.0
ijulʹa,ˈijulʲɑ,ˈijulʲɑ,0.0
ikä,ˈikæ,ˈikæ,0.0
ilveš,ˈilʋeʃ,ˈilʋeʃ,0.0
ilma,ˈilmɑ,ˈilmɑ,0.0
jalga,ˈjɑlɡɑ,ˈjɑlɡɑ,0.0
inehmine,ˈinʲehminʲe,ˈinʲehminʲe,0.0
jalka,ˈjɑlkɑ,ˈjɑlkɑ,0.0
iäni,ˈiæ̯nʲi,ˈiæ̯nʲi,0.0
izä,ˈizʲæ,ˈizʲæ,0.0
jo,ˈjo,ˈjo,0.0
iäreh,ˈiæ̯reh,ˈiæ̯reh,0.0
janhus,ˈjɑnhus,ˈjɑnhus,0.0
joka,ˈjokɑ,ˈjokɑ,0.0
jiä,ˈjiæ̯,ˈjiæ̯,0.0
jiähä,ˈjiæ̯hæ,ˈjiæ̯hæ,0.0
jumala,ˈjumɑlɑ,ˈjumɑlɑ,0.0
jauho,ˈjɑu̯ho,ˈjɑu̯ho,0.0
joga,ˈjoɡɑ,ˈjoɡɑ,0.0
joko,ˈjoko,ˈjoko,0.0
jygie,ˈjyɡie̯,ˈjyɡie̯,0.0
jouši,ˈjou̯ʃi,ˈjou̯ʃi,0.0
joučen,ˈjou̯t͡ʃen,ˈjou̯t͡ʃen,0.0
jouži,ˈjou̯ʒi,ˈjou̯ʒi,0.0
jykie,ˈjykie̯,ˈjykie̯,0.0
kagla,ˈkɑɡlɑ,ˈkɑɡlɑ,0.0
jänis,ˈjænʲis,ˈjænʲis,0.0
kaglapaikka,ˈkɑɡlɑˌpɑi̯kːɑ,ˈkɑɡlɑˌpɑi̯kːɑ,0.0
järvi,ˈjærʋi,ˈjærʋi,0.0
kala,ˈkɑlɑ,ˈkɑlɑ,0.0
kalakukko,ˈkɑlɑˌkukːo,ˈkɑlɑˌkukːo,0.0
kakattua,ˈkɑkɑtːuɑ̯,ˈkɑkɑtːuɑ̯,0.0
kallivo,ˈkɑlʲːiʋo,ˈkɑlʲːiʋo,0.0
kana,ˈkɑnɑ,ˈkɑnɑ,0.0
kampala,ˈkɑmpɑlɑ,ˈkɑmpɑlɑ,0.0
kaivo,ˈkɑi̯ʋo,ˈkɑi̯ʋo,0.0
kaniini,ˈkanʲiːnʲi,ˈkanʲiːnʲi,0.0
kanto,ˈkɑnto,ˈkɑnto,0.0
kanži,ˈkɑnʒi,ˈkɑnʒi,0.0
kapusta,ˈkɑpustɑ,ˈkɑpustɑ,0.0
kando,ˈkɑndo,ˈkɑndo,0.0
kariela,ˈkɑrʲie̯lɑ,ˈkɑrʲie̯lɑ,0.0
kazi,ˈkɑzʲi,ˈkɑzʲi,0.0
kate,ˈkɑte,ˈkɑte,0.0
kaunis,ˈkɑu̯nʲis,ˈkɑu̯nʲis,0.0
karu,ˈkɑru,ˈkɑru,0.0
karjala,ˈkɑrjɑlɑ,ˈkɑrjɑlɑ,0.0
kello,ˈkelːo,ˈkelːo,0.0
kaunisʹ,ˈkɑu̯nʲisʲ,ˈkɑu̯nʲisʲ,0.0
kauha,ˈkɑu̯hɑ,ˈkɑu̯hɑ,0.0
keldane,ˈkeldɑnʲe,ˈkeldɑnʲe,0.0
kerroš,ˈkerːoʃ,ˈkerːoʃ,0.0
kennih,ˈkenʲːih,ˈkenʲːih,0.0
kanta,ˈkɑntɑ,ˈkɑntɑ,0.0
kešä,ˈkeʃæ,ˈkeʃæ,0.0
kešäkuu,ˈkeʃæˌkuː,ˈkeʃæˌkuː,0.0
kežä,ˈkeʒæ,ˈkeʒæ,0.0
ken,ˈken,ˈken,0.0
keški-ikähini,ˈkeʃkiˌikæhinʲi,ˈkeʃkiˌikæhinʲi,0.0
kevät,ˈkeʋæt,ˈkeʋæt,0.0
kibu,ˈkibu,ˈkibu,0.0
keyhä,ˈkey̯hæ,ˈkey̯hæ,0.0
kilpikonna,ˈkilʲpiˌkonːɑ,ˈkilʲpiˌkonːɑ,0.0
kibie,ˈkibie̯,ˈkibie̯,0.0
kiitoš,ˈkiːtoʃ,ˈkiːtoʃ,0.0
kipie,ˈkipie̯,ˈkipie̯,0.0
kilpailu,ˈkilpɑi̯lu,ˈkilpɑi̯lu,0.0
kiittiä,ˈkiːtʲːiæ̯,ˈkiːtʲːiæ̯,0.0
kivi,ˈkiʋi,ˈkiʋi,0.0
kivyäri,ˈkiʋyæ̯ri,ˈkiʋyæ̯ri,0.0
kiittyä,ˈkiːtʲːyæ̯,ˈkiːtʲːyæ̯,0.0
kiugua,ˈkiu̯ɡuɑ̯,ˈkiu̯ɡuɑ̯,0.0
kniäsä,ˈknʲiæ̯sʲæ,ˈknʲiæ̯sʲæ,0.0
kohta,ˈkohtɑ,ˈkohtɑ,0.0
kniäzä,ˈknʲiæ̯zʲæ,ˈknʲiæ̯zʲæ,0.0
kivari,ˈkiʋɑri,ˈkiʋɑri,0.0
klʹukka,ˈklʲukːɑ,ˈklʲukːɑ,0.0
kojitoin,ˈkojitoi̯n,ˈkojitoi̯n,0.0
kondie,ˈkondie̯,ˈkondie̯,0.0
koi,ˈkoi̯,ˈkoi̯,0.0
kolme,ˈkolme,ˈkolme,0.0
korenda,ˈkorendɑ,ˈkorendɑ,0.0
kontie,ˈkontie̯,ˈkontie̯,0.0
konša,ˈkonʃɑ,ˈkonʃɑ,0.0
kopeikka,ˈkopei̯kːɑ,ˈkopei̯kːɑ,0.0
korento,ˈkorento,ˈkorento,0.0
korbi,ˈkorbi,ˈkorbi,0.0
kormani,ˈkormɑnʲi,ˈkormɑnʲi,0.0
korgie,ˈkorɡie̯,ˈkorɡie̯,0.0
korva,ˈkorʋɑ,ˈkorʋɑ,0.0
koti,ˈkotʲi,ˈkotʲi,0.0
kova,ˈkoʋɑ,ˈkoʋɑ,0.0
kormano,ˈkormɑno,ˈkormɑno,0.0
korničča,ˈkornit͡ʃːɑ,ˈkornit͡ʃːɑ,0.0
korvasieni,ˈkorʋɑˌsʲie̯nʲi,ˈkorʋɑˌsʲie̯nʲi,0.0
kotka,ˈkotkɑ,ˈkotkɑ,0.0
krollikka,ˈkrolʲːikːɑ,ˈkrolʲːikːɑ,0.0
kostʹa,ˈkostʲɑ,ˈkosʲtʲɑ,14.000000000000002
kruška,ˈkruʃkɑ,ˈkruʃkɑ,0.0
kukko,ˈkukːo,ˈkukːo,0.0
kruuška,ˈkruːʃkɑ,ˈkruːʃkɑ,0.0
ku,ˈku,ˈku,0.0
kuali,ˈkuɑ̯lʲi,ˈkuɑ̯lʲi,0.0
kulkku,ˈkulkːu,ˈkulkːu,0.0
kuničča,ˈkunʲit͡ʃːɑ,ˈkunʲit͡ʃːɑ,0.0
kulku,ˈkulku,ˈkulku,0.0
kurva,ˈkurʋɑ,ˈkurʋɑ,0.0
kulʹtura,kulʲˈturɑ,kulʲˈturɑ,0.0
kulkulagi,ˈkulkuˌlɑɡi,ˈkulkuˌlɑɡi,0.0
kyllä,ˈkylʲːæ,ˈkylʲːæ,0.0
kurki,ˈkurki,ˈkurki,0.0
kuore,ˈkuo̯re,ˈkuo̯re,0.0
kurgi,ˈkurɡi,ˈkurɡi,0.0
kuu,ˈkuː,ˈkuː,0.0
kyly,ˈkylʲy,ˈkylʲy,0.0
kuuži,ˈkuːʒi,ˈkuːʒi,0.0
kyngä,ˈkyŋɡæ,ˈkyŋɡæ,0.0
köyhä,ˈkøy̯hæ,ˈkøy̯hæ,0.0
kärki,ˈkærki,ˈkærki,0.0
laki,ˈlɑki,ˈlɑki,0.0
lampi,ˈlɑmpi,ˈlɑmpi,0.0
lakši,ˈlɑkʃi,ˈlɑkʃi,0.0
late,ˈlɑte,ˈlɑte,0.0
lagi,ˈlɑɡi,ˈlɑɡi,0.0
kätyt,ˈkætʲyt,ˈkætʲyt,0.0
lebedi,ˈlʲebedʲi,ˈlʲebedʲi,0.0
lehti,ˈlʲehtʲi,ˈlʲehtʲi,0.0
ligakuu,ˈlʲiɡɑˌkuː,ˈlʲiɡɑˌkuː,0.0
liga,ˈlʲiɡɑ,ˈlʲiɡɑ,0.0
langa,ˈlɑŋɡɑ,ˈlɑŋɡɑ,0.0
liiva,ˈlʲiːʋɑ,ˈlʲiːʋɑ,0.0
lehmä,ˈlʲehmæ,ˈlʲehmæ,0.0
liäžö,ˈliæ̯ʒø,ˈliæ̯ʒø,0.0
liävä,ˈlʲiæ̯ʋæ,ˈlʲiæ̯ʋæ,0.0
lumiukko,ˈlumiˌukːo,ˈlumiˌukːo,0.0
lindu,ˈlʲindu,ˈlʲindu,0.0
lukku,ˈlukːu,ˈlukːu,0.0
lisätä,ˈlisætæ,ˈlisætæ,0.0
lusikka,ˈlusʲikːɑ,ˈlusʲikːɑ,0.0
lokka,ˈlokːɑ,ˈlokːɑ,0.0
lypšiä,ˈlʲypʃiæ̯,ˈlʲypʃiæ̯,0.0
mai,ˈmɑi̯,ˈmɑi̯,0.0
lämmin,ˈlʲæmːin,ˈlʲæmːin,0.0
luu,ˈluː,ˈluː,0.0
luzikka,ˈluzʲikːɑ,ˈluzʲikːɑ,0.0
löttö,ˈlʲøtʲːø,ˈlʲøtʲːø,0.0
mado,ˈmɑdo,ˈmɑdo,0.0
mato,ˈmɑto,ˈmɑto,0.0
mančikka,ˈmɑnt͡ʃikːɑ,ˈmɑnt͡ʃikːɑ,0.0
maido,ˈmɑi̯do,ˈmɑi̯do,0.0
mennä,ˈmenːæ,ˈmenːæ,0.0
meččo,ˈmet͡ʃːo,ˈmet͡ʃːo,0.0
mi,ˈmi,ˈmi,0.0
merta,ˈmertɑ,ˈmertɑ,0.0
mehiläini,ˈmehiˌlʲæi̯nʲi,ˈmehiˌlʲæi̯nʲi,0.0
miljoona,milˈjoːnɑ,milˈjoːnɑ,0.0
minih,ˈminʲih,ˈminʲih,0.0
merda,ˈmerdɑ,ˈmerdɑ,0.0
mieš,ˈmie̯ʃ,ˈmie̯ʃ,0.0
mua,ˈmuɑ̯,ˈmuɑ̯,0.0
muakondie,ˈmuɑ̯ˌkondie̯,ˈmuɑ̯ˌkondʲie̯,8.0
muu,ˈmuː,ˈmuː,0.0
muamykrä,ˈmuɑ̯ˌmykræ,ˈmuɑ̯ˌmykræ,0.0
muamo,ˈmuɑ̯mo,ˈmuɑ̯mo,0.0
mägrä,ˈmæɡræ,ˈmæɡræ,0.0
muru,ˈmuru,ˈmuru,0.0
nellä,ˈnʲelʲːæ,ˈnʲelʲːæ,0.0
ne,ˈnʲe,ˈnʲe,0.0
mäkrä,ˈmækræ,ˈmækræ,0.0
niekla,ˈnʲie̯klɑ,ˈnʲie̯klɑ,0.0
nero,ˈnʲero,ˈnʲero,0.0
nogi,ˈnoɡi,ˈnoɡi,0.0
niegla,ˈnʲie̯ɡlɑ,ˈnʲie̯ɡlɑ,0.0
nuo,ˈnuo̯,ˈnuo̯,0.0
noki,ˈnoki,ˈnoki,0.0
nojabrʹa,ˈnojɑbrʲɑ,ˈnojɑbrʲɑ,0.0
nämä,ˈnʲæmæ,ˈnʲæmæ,0.0
nokikana,ˈnokiˌkɑnɑ,ˈnokiˌkɑnɑ,0.0
nyblä,ˈnʲyblʲæ,ˈnʲyblʲæ,0.0
oraš,ˈorɑʃ,ˈorɑʃ,0.0
oraškuu,ˈorɑʃˌkuː,ˈorɑʃˌkuː,0.0
olut,ˈolut,ˈolut,0.0
nʹokka,ˈnʲokːɑ,ˈnʲokːɑ,0.0
nyplä,ˈnʲyplʲæ,ˈnʲyplʲæ,0.0
očča,ˈot͡ʃːɑ,ˈot͡ʃːɑ,0.0
orava,ˈorɑʋɑ,ˈorɑʋɑ,0.0
paikka,ˈpɑi̯kːɑ,ˈpɑi̯kːɑ,0.0
ortʹtʹo,ˈortʲːo,ˈortʲːo,0.0
paimen,ˈpɑi̯men,ˈpɑi̯men,0.0
paha,ˈpɑhɑ,ˈpɑhɑ,0.0
ovi,ˈoʋi,ˈoʋi,0.0
ozra,ˈozrɑ,ˈozrɑ,0.0
pedra,ˈpedrɑ,ˈpedrɑ,0.0
pakkaškuu,ˈpɑkːɑʃˌkuː,ˈpɑkːɑʃˌkuː,0.0
peili,ˈpei̯lʲi,ˈpei̯lʲi,0.0
palokärgi,ˈpɑloˌkærɡi,ˈpɑloˌkærɡi,0.0
pii,ˈpiː,ˈpiː,0.0
pereh,ˈpereh,ˈpereh,0.0
peltohiiri,ˈpeltoˌhiːri,ˈpeltoˌhiːri,0.0
pitkä,ˈpitkæ,ˈpitkæ,0.0
pilvi,ˈpilʲʋi,ˈpilʲʋi,0.0
piirdiä,ˈpiːrdʲiæ̯,ˈpiːrdʲiæ̯,0.0
pois,ˈpoi̯s,ˈpoi̯s,0.0
poisʹ,ˈpoi̯sʲ,ˈpoi̯sʲ,0.0
poika,ˈpoi̯kɑ,ˈpoi̯kɑ,0.0
piäh,ˈpiæ̯h,ˈpiæ̯h,0.0
poiga,ˈpoi̯ɡɑ,ˈpoi̯ɡɑ,0.0
puu,ˈpuː,ˈpuː,0.0
piäššä,ˈpiæ̯ʃːæ,ˈpiæ̯ʃːæ,0.0
präkkö,ˈprækːø,ˈprækːø,0.0
pöllöhaukka,ˈpølʲːøˌhɑu̯kːɑ,ˈpølʲːøˌhɑu̯kːɑ,0.0
pyššy,ˈpyʃːy,ˈpyʃʃy,17.0
rebo,ˈrebo,ˈrebo,0.0
repo,ˈrepo,ˈrepo,0.0
purku,ˈpurku,ˈpurku,0.0
riehtilä,ˈrie̯htʲilʲæ,ˈrie̯htʲilʲæ,0.0
ruočči,ˈruo̯t͡ʃːi,ˈruo̯t͡ʃːi,0.0
ruoččiheinä,ˈruo̯t͡ʃːiˌhei̯nʲæ,ˈruo̯t͡ʃːiˌhei̯nʲæ,0.0
riähkä,ˈriæ̯hkæ,ˈriæ̯hkæ,0.0
rahvaš,ˈrɑhʋɑʃ,ˈrɑhʋɑʃ,0.0
ruškie,ˈruʃkie̯,ˈruʃkie̯,0.0
risti,ˈrisʲtʲi,ˈrisʲtʲi,0.0
ruoho,ˈruo̯ho,ˈruo̯ho,0.0
se,ˈsʲe,ˈsʲe,0.0
šaje,ˈʃɑje,ˈʃɑje,0.0
ryšä,ˈryʃæ,ˈryʃæ,0.0
senʹtʹabri,ˈsʲenʲtʲɑbrʲi,ˈsʲenʲtʲɑbrʲi,0.0
suksi,ˈsuksi,ˈsuksi,0.0
šada,ˈʃɑdɑ,ˈʃɑdɑ,0.0
šana,ˈʃɑnɑ,ˈʃɑnɑ,0.0
šeiččimen,ˈʃei̯t͡ʃːimen,ˈʃei̯t͡ʃːimen,0.0
šata,ˈʃɑtɑ,ˈʃɑtɑ,0.0
šeiččemen,ˈʃei̯t͡ʃːemen,ˈʃei̯t͡ʃːemen,0.0
še,ˈʃe,ˈʃe,0.0
šanakniiga,ˈʃɑnɑˌknʲiːɡɑ,ˈʃɑnɑˌknʲiːɡɑ,0.0
šoma,ˈʃomɑ,ˈʃomɑ,0.0
šiili,ˈʃiːlʲi,ˈʃiːlʲi,0.0
šula,ˈʃulɑ,ˈʃulɑ,0.0
šuomi,ˈʃuo̯mi,ˈʃuo̯mi,0.0
šormi,ˈʃormi,ˈʃormi,0.0
šorša,ˈʃorʃɑ,ˈʃorʃɑ,0.0
šiä,ˈʃiæ̯,ˈʃiæ̯,0.0
šorža,ˈʃorʒɑ,ˈʃorʒɑ,0.0
šulakuu,ˈʃulɑˌkuː,ˈʃulɑˌkuː,0.0
šuora,ˈʃuo̯rɑ,ˈʃuo̯rɑ,0.0
zakona,ˈzɑkonɑ,ˈzɑkonɑ,0.0
šygyžy,ˈʃyɡyʒy,ˈʃyɡyʒy,0.0
ta,ˈtɑ,ˈtɑ,0.0
šänky,ˈʃæŋky,ˈʃæŋky,0.0
tie,ˈtʲie̯,ˈtʲie̯,0.0
šyyškuu,ˈʃyːʃˌkuː,ˈʃyːʃˌkuː,0.0
tammikko,ˈtɑmːikːo,ˈtamːikːo,11.0
talvikuu,ˈtɑlʋiˌkuː,ˈtɑlʋiˌkuː,0.0
